date,code,name,vwap930,close,result,dev930_pct
2026-07-13,7203,トヨタ自動車,2824.35,2800.0,低,-0.86
2026-07-13,7259,アイシン,2297.71,2261.0,低,-1.6
2026-07-13,7261,マツダ,1119.59,1098.5,低,-1.88
2026-07-13,7267,ホンダ,1504.97,1492.0,低,-0.86
2026-07-13,7269,スズキ,2034.94,2032.0,低,-0.14
2026-07-13,7270,SUBARU,2508.35,2485.5,低,-0.91
2026-07-13,7453,良品計画,4105.95,4228.0,高,2.97
2026-07-13,7532,パンパシフィックHD,852.84,870.7999877929688,高,2.11
2026-07-13,7731,ニコン,2246.59,2300.5,高,2.4
2026-07-13,7733,オリンパス,1765.76,1772.5,高,0.38
2026-07-13,7735,SCREEN,18371.52,17790.0,低,-3.17
2026-07-13,7741,HOYA,25169.34,25435.0,高,1.06
2026-07-13,7751,キヤノン,4340.93,4309.0,低,-0.74
2026-07-13,7974,任天堂,7006.48,7095.0,高,1.26
2026-07-13,8001,伊藤忠商事,1911.79,1873.0,低,-2.03
2026-07-13,8002,丸紅,4933.81,4848.0,低,-1.74
2026-07-13,8015,豊田通商,6096.51,6040.0,低,-0.93
2026-07-13,8031,三井物産,4620.07,4570.0,低,-1.08
2026-07-13,8035,東京エレクトロン,73389.81,71200.0,低,-2.98
2026-07-13,8053,住友商事,1575.06,1557.5,低,-1.11
2026-07-13,8058,三菱商事,4494.52,4439.0,低,-1.24
2026-07-13,8233,高島屋,2319.27,2308.0,低,-0.49
2026-07-13,8267,イオン,1370.38,1407.5,高,2.71
2026-07-13,8306,三菱UFJ,3534.84,3531.0,低,-0.11
2026-07-13,8308,りそなHD,2376.99,2359.0,低,-0.76
2026-07-13,8316,三井住友FG,6970.99,6928.0,低,-0.62
2026-07-13,8411,みずほFG,8479.49,8385.0,低,-1.11
2026-07-13,8473,SBIHD,2826.0,2790.0,低,-1.27
2026-07-13,8591,オリックス,6540.33,6386.0,低,-2.36
2026-07-13,8604,野村HD,1563.19,1549.5,低,-0.88
2026-07-13,8630,SOMPOHD,6518.26,6483.0,低,-0.54
2026-07-13,8697,JPX,2220.13,2207.5,低,-0.57
2026-07-13,8725,MS&ADHD,4432.73,4426.0,低,-0.15
2026-07-13,8750,第一生命HD,1849.79,1831.5,低,-0.99
2026-07-13,8766,東京海上HD,7551.22,7587.0,高,0.47
2026-07-13,8801,三井不動産,1523.2,1516.0,低,-0.47
2026-07-13,8802,三菱地所,4232.04,4122.0,低,-2.6
2026-07-13,8830,住友不動産,3824.53,3758.0,低,-1.74
2026-07-13,9020,JR東日本,3493.47,3520.0,高,0.76
2026-07-13,9021,JR西日本,2913.74,2968.5,高,1.88
2026-07-13,9022,JR東海,3655.26,3645.0,低,-0.28
2026-07-13,9064,ヤマトHD,1954.09,1941.5,低,-0.64
2026-07-13,9101,日本郵船,5330.59,5307.0,低,-0.44
2026-07-13,9104,商船三井,5381.17,5339.0,低,-0.78
2026-07-13,9107,川崎汽船,2543.62,2532.5,低,-0.44
2026-07-13,9201,JAL,2922.36,2904.0,低,-0.63
2026-07-13,9202,ANAHD,3007.51,3015.0,高,0.25
2026-07-13,9432,NTT,148.44,149.0,高,0.38
2026-07-13,9433,KDDI,2802.48,2798.0,低,-0.16
2026-07-13,9434,ソフトバンク,212.63,214.0,高,0.64
2026-07-13,9501,東京電力HD,489.04,488.1000061035156,低,-0.19
2026-07-13,9502,中部電力,3179.25,2986.5,低,-6.06
2026-07-13,9503,関西電力,2270.19,2256.0,低,-0.63
